rank,school,grades,district,number_of_students,student_teacher_ratio,2017_rank,rank_change,fulltime_teachers,free_disc_lunch,avg_test_score,white,black,hispanic,asian,american_indian,pacific_islander,biracial,expected_test_score
713,James McGee Elementary,K-6,Pasco School District,642,17.7,783,70,36,0.5479999999999999,0.342,0.39299999999999996,0.027999999999999997,0.519,0.012,0,0.003,0.045,0.3528914134040686
714,Robertson Elementary,K-5,Yakima School District,514,17.3,822,108,30,0.7979999999999999,0.342,0.233,0.006,0.716,0.002,0.019,0,0.023,0.1732689314530605
715,Twin Lakes Elementary School,"PK, KG-5",Federal Way School District,372,15.1,954,239,25,0.645,0.341,0.293,0.156,0.263,0.059000000000000004,0.003,0.054000000000000006,0.172,0.30002355430729555
716,Grove Elementary,K-5,Marysville School District,507,18.1,797,81,28,0.41,0.34,0.5660000000000001,0.016,0.18899999999999997,0.055,0.024,0.004,0.146,0.5466658591294249
717,Southern Heights Elementary,"PK, KG-6",Highline School District,302,17.2,834,117,18,0.8009999999999999,0.34,0.09300000000000001,0.066,0.46399999999999997,0.19899999999999998,0.017,0.06,0.10300000000000001,0.25800660577640033
718,Hillside Elementary School,"PK, KG-5",Clover Park School District,558,17.9,517,201,31,0.6559999999999999,0.34,0.425,0.14300000000000002,0.29600000000000004,0.025,0.005,0.043,0.063,0.3093351767732515
719,Mesa Elementary,K-6,North Franklin School District,178,13.2,NA,(n/a),13,0.685,0.33899999999999997,0.41,0.011000000000000001,0.579,0,0,0,0,0.26961321670660315
720,Waller Road Elementary,K-6,Puyallup School District,342,19.2,491,229,18,0.506,0.33899999999999997,0.591,0.026000000000000002,0.18100000000000002,0.02,0.032,0.006,0.14300000000000002,0.4589836946276271
721,Washington Elementary School,K-5,Auburn School District,523,14.3,821,100,37,0.75,0.33799999999999997,0.285,0.078,0.375,0.034,0.002,0.073,0.153,0.22510325132767406
722,Irene Reither Elementary School,"PK, KG-5",Meridian School District,627,16.5,787,65,38,0.327,0.337,0.6759999999999999,0.013000000000000001,0.212,0.051,0.013000000000000001,0.005,0.03,0.6372600059378936
723,Wahitis Elementary School,K-5,Othello School District,546,19.5,740,17,28,0.8240000000000001,0.337,0.10400000000000001,0,0.894,0,0,0,0.002,0.13764100267994195
724,Emerson Elementary School,"PK, KG-5",Everett School District,652,17.5,734,10,37,0.6829999999999999,0.337,0.37,0.071,0.36200000000000004,0.107,0,0.011000000000000001,0.08,0.3413197358944458
725,Marshall Elementary,"PK, KG-5",Marysville School District,397,15.2,854,129,26,0.6,0.336,0.519,0.018000000000000002,0.259,0.025,0.03,0.013000000000000001,0.136,0.37529044644656456
726,Wishkah Valley Elementary/High School,K-12,Wishkah Valley School District,163,10.9,903,177,15,0.564,0.33399999999999996,0.982,0.006,0.012,0,0,0,0,0.5483617605630468
727,Stevens Elementary School,"PK, KG-6",Aberdeen School District,497,16.1,633,94,31,0.726,0.33299999999999996,0.491,0.012,0.35,0.03,0.034,0,0.08199999999999999,0.2941702870146025
728,Oak Heights Elementary,K-6,Edmonds School District,616,19.3,693,35,32,0.39799999999999996,0.33299999999999996,0.48100000000000004,0.05,0.193,0.166,0.002,0.005,0.10400000000000001,0.6225512632313901
729,Cedar Valley Elementary School,"PK, KG-6",Kent School District,284,13.7,771,42,21,0.585,0.33299999999999996,0.475,0.085,0.317,0.027999999999999997,0.021,0,0.07400000000000001,0.37187501124485384
730,Glenwood Elementary,K-6,Glenwood School District,39,8.4,NA,(n/a),5,0.564,0.332,0.5379999999999999,0.026000000000000002,0.231,0,0.051,0,0.154,0.38335234247320443
731,Rock Island Elementary,K-4,Eastmont School District,216,15.3,786,55,14,0.838,0.331,0.292,0,0.69,0,0,0,0.019,0.16944506614941207
732,Manitou Park,"PK, KG-5",Tacoma Public Schools,487,14.8,778,46,33,0.8190000000000001,0.331,0.24,0.162,0.382,0.06,0.006,0.025,0.125,0.1985380911567605
733,Firgrove Elementary,K-6,Puyallup School District,668,17.4,730,3,38,0.551,0.32899999999999996,0.42700000000000005,0.057999999999999996,0.344,0.054000000000000006,0.003,0.012,0.102,0.3992575765113516
734,Ellsworth Elementary School,"PK, KG-5",Evergreen School District (Clark),443,16,762,28,28,0.614,0.32799999999999996,0.449,0.023,0.35700000000000004,0.032,0.002,0.011000000000000001,0.126,0.34811751394463386
735,Park Orchard Elementary School,K-5,Moses Lake School District,461,20,618,117,23,0.6659999999999999,0.327,0.436,0.011000000000000001,0.51,0.002,0.011000000000000001,0,0.03,0.2893637662307634
736,Sunnyside Elementary,K-5,Marysville School District,528,19.3,663,73,27,0.375,0.327,0.61,0.023,0.193,0.08900000000000001,0.013000000000000001,0.009000000000000001,0.063,0.6162611194038696
737,Little Mountain Elementary,K-5,Mount Vernon School District,639,16.4,703,34,39,0.606,0.326,0.408,0.017,0.505,0.027000000000000003,0.003,0.005,0.034,0.33495734891525947
738,Helen B. Stafford Elementary,"PK, KG-5",Tacoma Public Schools,513,16.6,586,152,31,0.7490000000000001,0.325,0.185,0.14,0.267,0.222,0.008,0.045,0.133,0.33361550593180583
739,Silver Star Elementary School,K-5,Evergreen School District (Clark),477,16.1,684,55,30,0.604,0.325,0.721,0.015,0.147,0.023,0.004,0.01,0.08,0.4444161490540986
740,Jenkins Creek Elementary School,"PK, KG-6",Kent School District,426,16.3,642,98,26,0.43700000000000006,0.32299999999999995,0.523,0.063,0.2,0.077,0.012,0.013999999999999999,0.11,0.5324915439805932
741,John Muir Elementary School,K-5,Seattle School District,398,15.4,813,72,26,0.7190000000000001,0.322,0.161,0.485,0.11599999999999999,0.111,0,0.008,0.121,0.2581795542361453
742,Tukwila Elementary,"PK, KG-5",Tukwila School District,534,15.8,769,27,34,0.6629999999999999,0.322,0.131,0.19899999999999998,0.266,0.23800000000000002,0.004,0.03,0.133,0.38200261477488334
743,View Ridge Elementary School,"PK, KG-5",Bremerton School District,453,13.4,698,45,34,0.612,0.321,0.534,0.064,0.19399999999999998,0.022000000000000002,0.004,0.006999999999999999,0.174,0.3703828103672971
744,Castle Rock Elementary,"PK, KG-5",Castle Rock School District,616,18.2,680,64,34,0.5329999999999999,0.319,0.836,0.002,0.075,0.006,0.011000000000000001,0.003,0.067,0.5200226120212214
745,Shining Mountain Elementary,K-5,Bethel School District,746,16.5,798,53,45,0.649,0.319,0.433,0.051,0.256,0.036000000000000004,0.004,0.048,0.172,0.32482879293676187
746,Elma Elementary School,"PK, KG-5",Elma School District,615,16.4,731,15,37,0.722,0.319,0.65,0.006999999999999999,0.249,0.008,0.015,0,0.07200000000000001,0.33055717101912757
747,Broadview-Thomson K-8 School,"PK, KG-8",Seattle School District,624,14.4,613,134,43,0.5820000000000001,0.319,0.317,0.22,0.239,0.107,0.005,0.005,0.107,0.38619871321125104
748,Lincoln Elementary School,K-5,Olympia School District,282,18.3,669,79,15,0.259,0.318,0.7909999999999999,0.013999999999999999,0.096,0.013999999999999999,0.004,0.004,0.078,0.6867761721555918
749,Cosmopolis Elementary School,K-6,Cosmopolis School District,144,14.1,859,110,10,0.5489999999999999,0.317,0.785,0,0.111,0,0,0,0.10400000000000001,0.48444009499127233
750,West View Elementary,K-6,Burlington-Edison School District,384,14.2,818,68,27,0.6459999999999999,0.316,0.24,0.008,0.706,0.01,0.003,0,0.034,0.24782320932470184
751,Mt. Stuart Elementary,K-5,Ellensburg School District,506,17.6,879,128,29,0.609,0.314,0.757,0.016,0.198,0.013999999999999999,0.01,0,0.006,0.4462852123723093
752,Dearborn Park International School,K-5,Seattle School District,354,13.5,770,18,26,0.754,0.313,0.08199999999999999,0.353,0.079,0.39299999999999996,0.003,0,0.09,0.4425076852839644
753,Discovery Lab School,1-8,Yakima School District,211,18.1,738,15,12,0.45,0.313,0.40299999999999997,0.009000000000000001,0.521,0,0.009000000000000001,0,0.057,0.40863686922595555
754,Columbia Elementary,K-5,Columbia School District (Walla Walla),364,16.5,893,139,22,0.5579999999999999,0.311,0.563,0.005,0.41200000000000003,0,0.008,0,0.011000000000000001,0.3961878924518334
755,Custer Elementary,K-5,Ferndale School District,334,17.9,462,293,19,0.536,0.31,0.7509999999999999,0.006,0.18600000000000003,0.015,0.018000000000000002,0,0.024,0.49424735325403774
756,Oakbrook Elementary School,"PK, KG-5",Clover Park School District,343,19,519,237,18,0.542,0.309,0.434,0.12,0.204,0.067,0.006,0.023,0.146,0.4192836562820611
757,Lakeview Terrace Elementary,K-5,Moses Lake School District,440,17.6,867,110,25,0.616,0.305,0.507,0.009000000000000001,0.455,0.005,0.002,0,0.023,0.34417610721437025
758,Catlin Elementary,K-5,Kelso School District,310,15.5,757,1,20,0.7709999999999999,0.304,0.687,0,0.19,0.016,0.006,0.016,0.084,0.3200907879386997
759,Wallace & Priscilla Stevenson Intermediate School,4-6,White Salmon Valley School District,282,18.1,721,38,16,0.46799999999999997,0.303,0.645,0,0.298,0.004,0.011000000000000001,0.004,0.039,0.4902878124173892
760,Southworth Elementary,K-6,Yelm Community Schools,611,18.1,793,33,34,0.434,0.303,0.614,0.013000000000000001,0.177,0.013000000000000001,0.047,0.02,0.11599999999999999,0.5099468429350202
761,George C Marshall Elementary,K-5,Vancouver Public Schools,401,15.7,874,113,26,0.6609999999999999,0.303,0.519,0.025,0.324,0.01,0.012,0.045,0.065,0.32512561640641274
762,Beverly Elementary,K-6,Edmonds School District,587,18.4,696,66,32,0.426,0.303,0.455,0.063,0.23199999999999998,0.109,0.012,0.024,0.106,0.5437174335512834
763,Cedar Way Elementary,K-6,Edmonds School District,488,18.3,548,215,27,0.451,0.302,0.46299999999999997,0.086,0.17800000000000002,0.125,0.004,0.012,0.131,0.5445015856627619
764,Darrington Elementary School,"PK, KG-8",Darrington School District,278,15.2,751,13,18,0.565,0.302,0.8059999999999999,0,0.086,0.004,0.036000000000000004,0,0.068,0.48518558306483434
765,Paul Rumburg Elementary,"PK, KG-5",Entiat School District,154,15,739,26,10,0.6559999999999999,0.302,0.61,0,0.38299999999999995,0,0,0,0.006,0.35060498442191035
766,Woodmont K-8 School,K-8,Federal Way School District,489,18,709,57,27,0.562,0.301,0.297,0.13699999999999998,0.28600000000000003,0.11199999999999999,0.008,0.037000000000000005,0.12300000000000001,0.3963252376236079
767,Trout Lake Elementary,K-4,Trout Lake School District,93,18.6,504,263,5,0,0.301,0.785,0.022000000000000002,0.086,0.022000000000000002,0.022000000000000002,0,0.065,0.818787184193835
768,Lea Hill Elementary School,"PK, KG-5",Auburn School District,451,14.6,448,320,31,0.59,0.3,0.38799999999999996,0.184,0.155,0.098,0.004,0.028999999999999998,0.142,0.3986427522457653
769,Rosalind Franklin STEM Elementary,"PK, KG-6",Pasco School District,773,18.4,737,32,42,0.514,0.3,0.431,0.005,0.51,0.018000000000000002,0,0,0.036000000000000004,0.3929979907132005
770,Garfield Elementary,"PK, KG-6",Spokane Public Schools,458,13.1,802,32,35,0.723,0.298,0.6509999999999999,0.040999999999999995,0.127,0.015,0.009000000000000001,0.011000000000000001,0.146,0.33601748886159516
771,Hawthorne Elementary School - Everett,"PK, KG-5",Everett School District,472,16.8,820,49,28,0.8809999999999999,0.298,0.36,0.085,0.32,0.068,0.006,0.087,0.07400000000000001,0.20533499744427147
772,Mountlake Terrace Elementary,K-6,Edmonds School District,426,15.5,837,65,27,0.519,0.29600000000000004,0.46,0.038,0.28600000000000003,0.08900000000000001,0,0.021,0.106,0.4642860316796544
773,West Hills S.T.E.M. Academy,"PK, KG-8",Bremerton School District,651,16.6,744,29,39,0.691,0.29600000000000004,0.525,0.069,0.19,0.032,0.011000000000000001,0.015,0.157,0.3270324913731971
774,Progress Elementary School,"PK, KG-5",Central Valley School District,417,16.4,658,116,25,0.49200000000000005,0.29600000000000004,0.8009999999999999,0.017,0.098,0.013999999999999999,0.012,0.017,0.040999999999999995,0.5419155706433033
775,Meredith Hill Elementary School,"PK, KG-5",Federal Way School District,492,17.6,603,172,28,0.457,0.29600000000000004,0.402,0.069,0.24600000000000002,0.161,0.002,0.022000000000000002,0.098,0.5505296981499667
